Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"USA","NV","M","12","R","122","18","122","2","Walk","15","0.39","46","Football/Soccer","365","236","645","185","1000","1000",
"CA","Ontario","F","14","R","162","24","162","3","Bus","40","0.391","39","Football/Soccer","1000","1000","567","1000","818","807",
"NZ","Auckland","F","11","L","162","17","162","1","Bus","45","0.375","0","Netball","500","","500","","","",
"OZ","Victoria","M","10","L","147","20","148","2","Car","5","0.35","0","Basketball","498","415","1","592","1000","1000",
"USA","WI","M","13","L","171","25","176","2","Bus","40","0.22","34","Football (American)","800","800","800","800","0","0",
"OZ","Victoria","F","11","R","155","24","151","1","Walk","1","0.51","44","Swimming","1000","1000","1000","1000","1000","657",
"CA","Alberta","M","11","R","160","25","160","1","Bus","40","0.36","39","Hockey (Ice)","497","476","299","487","647","861",
"NZ","Auckland","M","15","B","182","30","197","1","Bus","5","0.33","0","Other activities/sports","1000","","250","","","",
"CA","Ontario","F","14","R","156","23","156","2","Walk","5","0.375","37","Bowling","877","882","1000","1000","567","567",
"CA","Ontario","M","13","R","186","28","181","1","Bus","5","0.594","38","Baseball/Softball","802","802","829","840","144","128",
"NZ","Auckland","M","18","R","178","30","178","1","Car","25","0.359","0","Football/Soccer","750","","500","","","",
"OZ","Tasmania","F","14","R","162","21","160","1","Car","10","0.26","45","Other activities/sports","474","391","367","397","557","551",
"CA","Ontario","F","12","R","154","23","159","2","Car","2","0.401","34","Baseball/Softball","642","513","444","439","332","337",
"CA","Ontario","F","12","R","151","23","147","1","Walk","10","0.438","37","Table Tennis","936","818","877","818","214","289",
"NZ","Auckland","M","14","L","170","25","169","1","Bus","25","0.375","0","Rugby Union","250","","0","","","",
"CA","British Columbia","M","12","B","163","30","161","1","Bus","45","0.329","42","Other activities/sports","636","663","684","754","75","59",
"CA","Ontario","F","17","R","170","24","160","1","Bus","30","0.371","59","None","11","11","401","16","1000","1000",
"USA","TX","M","16","R","170","28","170","2","Car","5","0.833","58","Bowling","200","200","200","200","800","",
"CA","Ontario","M","13","R","159","21","140","1","Bus","3","0.373","68","Baseball/Softball","1000","209","144","1000","310","620",
"USA","GA","F","17","R","168","24","180","1","Car","30","1.066","70","Other","800","600","500","700","950","1000",
"OZ","New South Wales","M","17","R","180","25","178","2","Car","20","0.31","29","Other activities/sports","503","976","1000","503","","",
"CA","Ontario","F","14","B","150","21","140","3","Bus","45","0.297","33","Football/Soccer","583","636","866","834","27","37",
"OZ","Queensland","M","10","R","154","24","157","2","Bus","60","0.46","64","Athletics","131","1000","1000","1000","740","1000",
"CA","Ontario","F","14","R","162","24","169","2","Car","5","0.471","41","Football/Soccer","684","791","1000","535","733","604",
"CA","Manitoba","F","15","R","142","21","157","1","Car","2","0.462","52","Basketball","1000","824","1000","1000","1000","1000",
"CA","Ontario","F","14","B","149","23","156","1","Walk","7","0.5","52","Football/Soccer","487","1000","610","460","749","877",
"OZ","South OZ","F","14","R","158","25","145","1","Bus","10","0.2","55","None","1000","1000","1000","1000","131","66",
"USA","OH","F","12","B","160","24","160","2","Bus","35","0.469","41","Basketball","1000","1000","1000","","1","1",
"USA","IN","F","15","R","159","22","155","1","Car","15","0.38","40","Gymnastics","800","1000","750","750","1000","1000",
"CA","Ontario","M","14","R","169","28","160","2","Car","15","0.42","63","Hockey (Ice)","711","615","711","551","824","759",
"CA","Ontario","M","13","R","137","21","144","1","Car","2","0.61","44","Hockey (Ice)","802","711","1000","920","444","439",
"USA","CA","F","12","R","147","20","137","1","Car","5","0.507","56","Basketball","240","70","1000","1000","1000","1000",
"USA","IL","M","12","R","162","24","166","1","Car","6","0.175","55","Baseball/Softball","481","160","251","626","37","225",
"OZ","Tasmania","M","14","R","181","28","189","1","Bus","22","0.4","32","Other activities/sports","384","803","1","234","480","749",
"OZ","Western OZ","M","12","R","144","22","145","1","Car","5","0.49","44","Football/Soccer","55","67","157","97","145","",
"NZ","Auckland","F","12","R","167","24","167","1","Car","15","0.452","0","Netball","1000","","1000","","","",
"UK","Home Counties","M","12","R","157","30","148","2","Bus","40","0.26","36","Football/Soccer","1000","699","0","967","11","0",
"OZ","New South Wales","F","15","R","159","22","150","1","Car","5","0.36","57","Rowing","805","657","1000","1000","592","592",
"OZ","Victoria","F","11","R","147","17","144","1","Car","10","0.51","55","Netball","1000","1000","1000","1000","533","545",
"UK","france","M","12","R","142","26","142","2","Car","60","0.33","39","Other activities/sports","878","879","681","772","152","148",
"USA","CA","M","12","R","156","24","150","2","Car","9","0.557","45","None","898","963","1000","668","374","572",
"USA","GU","M","12","L","155","24","158","1","Car","12","0.487","0","None","775","550","600","665","400","45",
"CA","Ontario","F","13","R","159","23","153","4","Bus","60","0.491","32","Dancing","1000","1000","1000","1000","519","519",
"OZ","Western OZ","M","12","R","152","24","152","1","Cycle","5","0.35","50","Other activities/sports","521","539","557","545","693","1000",
"CA","Ontario","M","18","R","178","26","180","1","Car","15","0.25","29","Skateboarding/Rollerblading","636","626","422","492","380","369",
"UK","North West","M","12","L","162","27","156","3","Car","15","0.29","53","Basketball","548","537","526","463","456","691",
"UK","South West","M","12","R","150","22","146","2","Bus","15","0","54","Rugby Union","0","0","500","1000","1000","0",
"OZ","Queensland","M","13","R","163","30","166","1","Cycle","10","0.37","41","Rugby League","1000","1000","1000","1000","1000","1000",
"USA","TX","F","16","R","160","22","156","1","Car","30","0.342","33","Running/Jogging","1000","1000","1000","","900","1000",
"OZ","New South Wales","F","10","R","131","21","126","1","Bus","20","0.66","79","Gymnastics","1000","755","737","791","","",
"OZ","South OZ","M","14","R","164","23","166","1","Car","4","0.26","18","Football/Soccer","137","137","1000","131","84","84",
"USA","DE","M","17","R","183","31","172","1","Car","10","0.476","38","Lacrosse","80","70","80","60","90","90",
"CA","Ontario","F","13","R","165","22","164","1","Bus","60","0.578","27","Baseball/Softball","1000","1000","1000","1000","1000","1000",
"USA","MA","M","13","R","161","27","158","1","Bus","13","0.397","49","Hockey (Ice)","200","300","500","800","300","200",
"UK","West Midlands","F","13","R","155","22","126","1","Bus","20","0","37","Dancing","669","698","792","823","870","924",
"OZ","Western OZ","M","10","R","136","10","134","3","Cycle","5","0.56","80","Football/Soccer","107","11","60","42","858","805",
"USA","IN","F","15","L","164","24","162","1","Bus","13","0.766","65","Golf","900","900","700","700","900","1000",
"USA","OH","M","10","R","139","20","122","3","Bus","20","0.51","20","Lacrosse","877","807","401","","433","326",
"USA","OH","F","9","R","154","23","159","2","Car","20","0.421","56","Football/Soccer","1000","1000","1000","","0","23",
"CA","Ontario","M","15","B","174","25","177","2","Walk","30","0.722","35","Football/Soccer","1000","1000","503","711","1000","1000",
"OZ","Victoria","M","10","R","144","24","141","2","Cycle","11","0.49","37","Other activities/sports","693","947","521","178","66","834",
"NZ","Auckland","F","12","R","139","21","143","1","Walk","5","0.37","0","Netball","750","","750","","","",
"OZ","Tasmania","M","11","L","145","20","138","1","Car","3","0.32","50","Cycling","598","409","421","699","657","645",
"CA","British Columbia","F","14","R","172","28","160","2","Car","3","0.33","33","Football/Soccer","251","251","497","348","43","37",
"USA","NC","F","14","B","161","24","203","2","Bus","5","0.409","43","Dancing","1000","1000","1000","1000","500","500",
"USA","CA","M","13","R","156","24","155","2","Car","3","0.421","48","Other","700","1000","1000","500","780","1000",
"USA","OH","M","15","B","171","22","132","2","Bus","60","0.46","47","Martial Arts","250","250","100","345","25","55",
"CA","Ontario","M","13","B","170","25","170","1","Bus","80","0.313","58","Hockey (Ice)","1000","1000","1000","1000","1000","1000",
"USA","VA","M","17","R","178","31","176","2","Car","5","0.25","38","Other","0","0","0","","1000","1000",
"NZ","Manawatu-Wanganui","M","10","B","151","22","151","1","Other","5","0.438","0","Football/Soccer","750","","750","","","",
"OZ","South OZ","M","14","R","106","21","170","2","Car","15","0.37","26","Tennis","616","616","1000","616","155","787",
"CA","Ontario","M","14","R","172","27","163","3","Bus","25","0.826","43","Table Tennis","722","717","722","738","1000","1000",
"CA","Quebec","M","13","R","167","28","164","1","Bus","11","0.266","57","Football/Soccer","316","759","369","241","1000","1000",
"OZ","Queensland","M","14","R","154","21","154","1","Car","5","0.31","27","Rugby League","728","693","1000","580","704","699",
"OZ","New South Wales","F","11","R","141","22","126","2","Walk","10","0.36","60","Gymnastics","959","545","710","1000","1","",
"NZ","Southland","M","11","R","150","17","150","1","Car","5","0","0","Rugby Union","500","","750","","","",
"UK","North West","F","15","L","161","23","158","1","Bus","20","0.29","46","Rugby League","418","295","604","801","566","716",
"CA","Ontario","F","13","L","160","23","155","1","Car","2","0.72","37","Baseball/Softball","1000","1000","1000","1000","1000","1000",
"UK","East","M","13","L","177","27","177","1","Walk","20","0.26","31","Martial Arts","161","546","307","248","571","603",
"USA","MO","F","15","R","157","22","152","1","Bus","20","0.338","36","Walking/Hiking","30","100","40","50","20","10",
"USA","SC","F","17","R","170","25","140","1","Car","12","0.38","47","Baseball/Softball","738","434","234","546","968","785",
"USA","PA","M","17","R","174","30","175","2","Car","15","0.286","48","Martial Arts","0","0","0","0","900","1000",
"UK","West Midlands","F","14","L","155","23","155","1","Car","30","0.39","38","Other activities/sports","403","398","535","450","723","1000",
"NZ","Auckland","M","9","R","132","21","135","2","Walk","5","0.39","0","Other activities/sports","250","","0","","","",
"OZ","New South Wales","M","13","R","153","23","160","1","Walk","15","0.29","43","Tennis","568","651","805","456","297","",
"CA","Ontario","M","15","L","175","26","174","2","Bus","60","0.281","29","Football/Soccer","1000","465","722","1000","1000","1000",
"CA","Quebec","M","15","R","171","26","165","2","Car","30","0.266","40","Cycling","979","1000","1000","1000","64","91",
"CA","Ontario","M","12","R","150","21","156","2","Bus","5","0.509","34","Swimming","674","615","738","684","1000","1000",
"CA","Alberta","M","13","R","145","23","136","2","Bus","32","0.281","42","Hockey (Ice)","449","449","647","481","1000","1000",
"UK","Home Counties","M","12","R","155","24","153","1","Rail","60","1.16","64","Baseball/Softball","986","287","861","290","1000","1000",
"OZ","Victoria","M","11","L","154","27","145","3","Rail","15","0.37","40","Rugby Union","202","397","202","362","775","1000",
"USA","IN","F","17","R","105","24","104","1","Car","5","0.721","46","Other","400","600","700","500","800","1000",
"NZ","Canterbury","F","11","R","165","24","167","1","Bus","15","0.5","0","Netball","750","","500","","","",
"OZ","Victoria","F","11","L","159","24","159","3","Car","6","0.4","61","Other activities/sports","539","450","728","308","48","515",
"OZ","Western OZ","M","15","R","174","28","170","2","Bus","50","0.37","39","Other activities/sports","1000","1000","1000","1000","539","805",
"NZ","Wellington","M","11","R","165","27","164","1","Other","5","0.621","0","Cricket","750","","500","","","",
"USA","CA","M","17","R","191","30","196","1","Car","3","0.38","37","Swimming","500","600","700","800","1000","900",
"CA","Ontario","F","14","R","159","23","157","3","Bus","90","0.36","33","Other activities/sports","1000","1000","1000","1000","1000","1000",
"CA","Ontario","F","12","R","165","25","160","2","Bus","10","0.656","43","Football/Soccer","107","572","492","487","176","139",
"NZ","Bay of Plenty","M","15","R","172","27","180","1","Bus","25","0.375","0","Hockey (Field)","750","","750","","","",
"CA","Ontario","F","13","R","164","24","163","2","Car","5","0.312","33","Bowling","775","487","556","791","652","497",
"OZ","Queensland","M","14","R","178","27","187","1","Walk","15","0.29","40","Cricket","598","373","851","332","970","1000",
"OZ","Western OZ","M","10","R","146","18","149","2","Walk","10","0.73","77","Football/Soccer","1000","1000","1000","1000","","",
